"A-1.2";"arabica nestle 1.2"
"P-PP 0.14";"Plastic bag 0.14"
"R-13-0%";"SC13-0.1%BB-0.1%FM"
"R-13-2%0.1";"SC13-2.0%BB-0.1%FM"
"R-13-2%0.5";"SC13-2.0%BB-0.5%FM"
"R-13-3% 0.1";"SC13-3.0%BB-0.1%FM"
"R-13-3%0.2 LAV";"SC13-3%BB-0.2%FM Lavaza"
"R-13-3%0.5";"SC13-3.0%BB-0.5%FM"
"R-13-5%0.5";"SC13-5.0%BB-0.5%FM"
"R-13-5%1";"SC13-5.0%BB-1.0%FM"
"R-13-5%3";"G2-6.0%BB, 20% brown, 1.0%FM"
"R-13-5-0.1";"SC 13 5%BB 0.1%FM"
"R-13-7.2";"SC13-7.2"
"R-13-8%1";"SC13-8.0%BB-1.0%FM"
"R-13STD";"SC13 STD Mill"
"R-13STD FROM DP";"SC13 STD Mill from Dry Polish"
"R-13STD FROM WP";"SC13 STD Mill from wetPolish"
"R-13-STD WP";"screen 13 normal polished"
"R-14-0%";"SC14-0.1%BB-0.1%FM-12.5MC,No S"
"R-16 STD WP";"R-S16 wet polish"
"R-16-0%";"SC16-0.1%BB-0.1%FM"
"R-16-0% LAV";"Rob S16 0% clean lavazza"
"R-16-0%-WP";"SC16-0.1%BB-0.1%FM-WP"
"R-16-0.5%";"SC16-0.5%BB-0.1%FM"
"R-16-0.5%-DP";"SC16-0.5%BB-0.1%FM-DP"
"R-16-1%-0.1";"SC16-1.0%BB-0.1%FM"
"R-16-1%-0.5";"SC16-1.0%BB-0.5%FM"
"R-16-2%-0.1";"SC16-2.0%BB-0.1%FM"
"R-16-2%0.1 LAV";"Rob S16-2%BB-0.1FM Lavazza"
"R-16-2%-0.5";"SC16-2.0%BB-0.5%FM"
"R-16-3%-0.5";"SC16-3.0%BB-0.5%FM"
"R-16-DECAF";"Robusta S16 -  Decaf"
"R-16STD";"SC16 STD Mill"
"R-16STD FROM DP";"SC16 STD Mill from Dry Polish"
"R-16STD FROM WP";"SC16 STD Mill from wetPolish"
"R-16-WP BD";"Rob Screen 16 blue dragon"
"R-18 STD WP";"R-S18 wet polish"
"R-18-0%";"SC18-0.1%BB-0.1%FM"
"R-18-0%-WP";"SC18-0.1%BB-0.1%FM-WP"
"R-18-0.5%-0.1";"SC18-0.5%BB-0.1%FM"
"R-18-0.5%-DP";"SC18-0.5%BB-0.1%FM-DP"
"R-18-0.5-DECAF";"SC18-0.5BB-Decaf"
"R-18-1%-0.1";"SC18-1%BB-0.1%FM"
"R-18-1-0.5";"Sc 18 1%BB 0.5FM"
"R-18-2%-0.1";"SC18-2.0%BB-0.1%FM"
"R-18-2%-0.5";"SC18-2.0%BB-0.5%FM"
"R-18-7.1";"R-18-7.1"
"R-18STD";"SC18 STD Mill"
"R-18STD FROM DP";"SC18 STD Mill from Dry Polish"
"R-18STD FROM WP";"SC18 STD Mill from wetPolish"
"R-18-WP BD";"rob screen 18 blue dragon"
"R-20 STD WP";"Screen 20 standard polished"
"R-20-0%";"Robusta S20 0% FM 0.4% BB"
"R-20-2% 0.5";"Robusta S20 0.5% FM, 2% BB"
"R-20-WP BD";"S20 BD 0.1% FM, 0.4% BB"
"R-B";"Brokens"
"R-B G1";"Rob black grade 1"
"R-B G2";"Rob black grade 2"
"R-DAMAGE";"Robusta & Excelsa damage"
"R-DUST";"Dust"
"R-FAQ";"FAQ robusta"
"R-FAQ GL";"FAQ robusta GL"
"R-G1 STD LG";"Rob low graded grade 1"
